ansatzbezeichnung;kontenbezeichnung;voranschlag-rj
Kindergarten Gisingen Runastraße;Instandhaltung von Spielplatzeinrichtungen;2900
Kindergarten Gisingen Runastraße;Instandhaltung von Gebäuden und Bauten;3000
Kindergarten Gisingen Runastraße;Instandh. Heizung;3000
Kindergarten Gisingen Runastraße;Fremdreinigung;1000
Kindergarten Gisingen Runastraße;Instandhaltung von sonstigen Anlagen;1000
Kindergarten Gisingen Runastraße;Telekommunikationsdienste;1000
Kindergarten Gisingen Runastraße;Kreditzinsen;1100
Kindergarten Gisingen Runastraße;Versicherungen;1800
Kindergarten Gisingen Runastraße;Sonstige Leistungen;200
Kindergarten Gisingen Runastraße;Dv-Programme;400
Kindergarten Gisingen Runastraße;Aufwand Hygieneartikel;1900
Kindergarten Gisingen Runastraße;Sonstige Ausgaben;800
Kindergarten Gisingen Oberau;Betriebsausstattung;0
Kindergarten Gisingen Oberau;Spielplatzeinrichtungen;400
Kindergarten Gisingen Oberau;Geringwertige Wirtschaftsgüter;5300
Kindergarten Gisingen Oberau;Gw. Wg. Spielplatzeinrichtungen;0
Kindergarten Gisingen Oberau;Gw.Wg. Kindergartenerhaltung;500
Kindergarten Gisingen Oberau;Lebensmittel;17000
Kindergarten Gisingen Oberau;Brennstoffe;800
Kindergarten Gisingen Oberau;Reinigungsmittel;700
Kindergarten Gisingen Oberau;Sonstige Verbrauchsgüter;900
Kindergarten Gisingen Oberau;Beschäftigungsmaterial;1000
Kindergarten Gisingen Oberau;Werkmaterial;3900
Kindergarten Gisingen Oberau;Geldbezüge Angestellte;410900
Kindergarten Gisingen Oberau;Geldbezüge Aushilfen;8300
Kindergarten Gisingen Oberau;Reisegebühren;2700
Kindergarten Gisingen Oberau;Mehrleistungsvergütung;0
Kindergarten Gisingen Oberau;Dienstjubiläen;5100
Kindergarten Gisingen Oberau;Dgb-Angest.Und Arbeit.;83800
Kindergarten Gisingen Oberau;Pensionskassa DG-Beitrag;3500
Kindergarten Gisingen Oberau;Mitarbeitervorsorge (Abfertigung neu);6300
Kindergarten Gisingen Oberau;Fla-Btg.F.Angest.U.Arb;16400
Kindergarten Gisingen Oberau;Energiebezüge;3500
Kindergarten Gisingen Oberau;Instandhaltung von Grund und Boden;3000
Kindergarten Gisingen Oberau;Instandhaltung von Spielplatzeinrichtungen;3000
Kindergarten Gisingen Oberau;Instandhaltung von Gebäuden und Bauten;3000
Kindergarten Gisingen Oberau;Instandh. Aufzug;500
Kindergarten Gisingen Oberau;Instandh. Heizung;1000
Kindergarten Gisingen Oberau;Fremdreinigung;500
Kindergarten Gisingen Oberau;Instandhaltung von sonstigen Anlagen;1000
Kindergarten Gisingen Oberau;Telekommunikationsdienste;1000
Kindergarten Gisingen Oberau;Versicherungen;200
Kindergarten Gisingen Oberau;Miete GIG;16500
Kindergarten Gisingen Oberau;Öffentliche Abgaben;800
Kindergarten Gisingen Oberau;Sonstige Leistungen;200
Kindergarten Gisingen Oberau;Dv-Programme;1200
Kindergarten Gisingen Oberau;Aufwand Hygieneartikel;1900
Kindergarten Gisingen Oberau;Sonstige Ausgaben;500
Kindergarten Gisingen Oberau;Transfers an Unternehmen / GIG;36000
Kindergarten Gisingen Hämmerlestraße;Betriebsausstattung;1400
Kindergarten Gisingen Hämmerlestraße;Geringwertige Wirtschaftsgüter;1500
Kindergarten Gisingen Hämmerlestraße;Gw.Wg. Kindergartenerhaltung;500
Kindergarten Gisingen Hämmerlestraße;Reinigungsmittel;400
Kindergarten Gisingen Hämmerlestraße;Sonstige Verbrauchsgüter;400
Kindergarten Gisingen Hämmerlestraße;Beschäftigungsmaterial;600
Kindergarten Gisingen Hämmerlestraße;Werkmaterial;1800
Kindergarten Gisingen Hämmerlestraße;Geldbezüge Angestellte;175000
Kindergarten Gisingen Hämmerlestraße;Geldbezüge Aushilfen;2600
Kindergarten Gisingen Hämmerlestraße;Reisegebühren;1600
Kindergarten Gisingen Hämmerlestraße;Mehrleistungsvergütung;0
Kindergarten Gisingen Hämmerlestraße;Dienstjubiläen;4700
Kindergarten Gisingen Hämmerlestraße;Dgb-Angest.u.Arbeiter;35800
Kindergarten Gisingen Hämmerlestraße;Pensionskassa DG-Beitrag;1200
Kindergarten Gisingen Hämmerlestraße;Mitarbeitervorsorge (Abfertigung neu);2300
Kindergarten Gisingen Hämmerlestraße;Fla-Btg.F.Angest.U.Arb;7000
Kindergarten Gisingen Hämmerlestraße;Energiebezüge;4000
Kindergarten Gisingen Hämmerlestraße;Instandhaltung von Grund und Boden;1500
Kindergarten Gisingen Hämmerlestraße;Instandhaltung von Spielplatzeinrichtungen;2500
Kindergarten Gisingen Hämmerlestraße;Instandhaltung von Gebäuden und Bauten;7000
Kindergarten Gisingen Hämmerlestraße;Fremdreinigung;500
Kindergarten Gisingen Hämmerlestraße;Instandhaltung von sonstigen Anlagen;1000
Kindergarten Gisingen Hämmerlestraße;Telekommunikationsdienste;900
Kindergarten Gisingen Hämmerlestraße;Versicherungen;100
Kindergarten Gisingen Hämmerlestraße;Miete und Betriebskosten;37200
Kindergarten Gisingen Hämmerlestraße;Kostenbeiträge / Verumlagung;0
Kindergarten Gisingen Hämmerlestraße;Sonstige Leistungen;200
Kindergarten Gisingen Hämmerlestraße;Dv-Programme;400
Kindergarten Gisingen Hämmerlestraße;Aufwand Hygieneartikel;1700
Kindergarten Gisingen Hämmerlestraße;Sonstige Ausgaben;300
Kindergarten Gisingen Am Oberen Riegel;Betriebsausstattung;600
Kindergarten Gisingen Am Oberen Riegel;Spielplatzeinrichtungen;2500
Kindergarten Gisingen Am Oberen Riegel;Schuldentilgung;66000
Kindergarten Gisingen Am Oberen Riegel;Geringwertige Wirtschaftsgüter;3900
Kindergarten Gisingen Am Oberen Riegel;Gw.Wg. Kindergartenerhaltung;500
Kindergarten Gisingen Am Oberen Riegel;Lebensmittel;8400
Kindergarten Gisingen Am Oberen Riegel;Reinigungsmittel;500
Kindergarten Gisingen Am Oberen Riegel;Sonstige Verbrauchsgüter;700
Kindergarten Gisingen Am Oberen Riegel;Beschäftigungsmaterial;800
Kindergarten Gisingen Am Oberen Riegel;Werkmaterial;3300
Kindergarten Gisingen Am Oberen Riegel;Geldbezüge Angestellte;284800
Kindergarten Gisingen Am Oberen Riegel;Geldbezüge Aushilfen;10400
Kindergarten Gisingen Am Oberen Riegel;Reisegebühren;2400
Kindergarten Gisingen Am Oberen Riegel;Mehrleistungsvergütung;0
Kindergarten Gisingen Am Oberen Riegel;Dgb-Angest.u.Arbeiter;59900
Kindergarten Gisingen Am Oberen Riegel;Pensionskassa DG-Beitrag;2400
Kindergarten Gisingen Am Oberen Riegel;Mitarbeitervorsorge (Abfertigung neu);1900
Kindergarten Gisingen Am Oberen Riegel;Fla-Btg.F.Angest.U.Arb;11600
Kindergarten Gisingen Am Oberen Riegel;Energiebezüge;3000
Kindergarten Gisingen Am Oberen Riegel;Instandhaltung von Grund und Boden;1000
Kindergarten Gisingen Am Oberen Riegel;Instandhaltung von Spielplatzeinrichtungen;3000
Kindergarten Gisingen Am Oberen Riegel;Instandhaltung von Gebäuden und Bauten;3000
Kindergarten Gisingen Am Oberen Riegel;Instandh. Heizung;2000
Kindergarten Gisingen Am Oberen Riegel;Fremdreinigung;500
Kindergarten Gisingen Am Oberen Riegel;Instandhaltung von sonstigen Anlagen;1000
Kindergarten Gisingen Am Oberen Riegel;Telekommunikationsdienste;1000
Kindergarten Gisingen Am Oberen Riegel;Kreditzinsen;8000
Kindergarten Gisingen Am Oberen Riegel;Versicherungen;800
Kindergarten Gisingen Am Oberen Riegel;Sonstige Leistungen;200
Kindergarten Gisingen Am Oberen Riegel;Dv-Programme;400
Kindergarten Gisingen Am Oberen Riegel;Aufwand Hygieneartikel;1700
Kindergarten Gisingen Am Oberen Riegel;Sonstige Ausgaben;700
Kindergarten Nofels Franz Heimgasse;Betriebsausstattung;2000
Kindergarten Nofels Franz Heimgasse;Spielplatzeinrichtungen;1200
Kindergarten Nofels Franz Heimgasse;Geringwertige Wirtschaftsgüter;2700
Kindergarten Nofels Franz Heimgasse;Gw.Wg. Kindergartenerhaltung;500
Kindergarten Nofels Franz Heimgasse;Brennstoffe;4400
Kindergarten Nofels Franz Heimgasse;Reinigungsmittel;400
Kindergarten Nofels Franz Heimgasse;Sonstige Verbrauchsgüter;600
Kindergarten Nofels Franz Heimgasse;Beschäftigungsmaterial;600
Kindergarten Nofels Franz Heimgasse;Werkmaterial;1800
Kindergarten Nofels Franz Heimgasse;Geldbezüge Angestellte;202800
Kindergarten Nofels Franz Heimgasse;Geldbezüge Aushilfen;4100
Kindergarten Nofels Franz Heimgasse;Reisegebühren;1600
Kindergarten Nofels Franz Heimgasse;Mehrleistungsvergütungen;0
Kindergarten Nofels Franz Heimgasse;Dienstjubiläen;3600
Kindergarten Nofels Franz Heimgasse;Dgb-Angest.Und Arbeit.;41700
Kindergarten Nofels Franz Heimgasse;Pensionskassa DG-Beitrag;1700
Kindergarten Nofels Franz Heimgasse;Mitarbeitervorsorge (Abfertigung neu);2100
Kindergarten Nofels Franz Heimgasse;Fla-Btg.F.Angest.U.Arb;8100
Kindergarten Nofels Franz Heimgasse;Energiebezüge;2000
Kindergarten Nofels Franz Heimgasse;Instandhaltung von Grund und Boden;2000
Kindergarten Nofels Franz Heimgasse;Instandhaltung von Spielplatzeinrichtungen;3000
Kindergarten Nofels Franz Heimgasse;Instandhaltung von Gebäuden und Bauten;7000
Kindergarten Nofels Franz Heimgasse;Instandh. Heizung;2000
Kindergarten Nofels Franz Heimgasse;Fremdreinigung;500
Kindergarten Nofels Franz Heimgasse;Instandhaltung von sonstigen Anlagen;1000
Kindergarten Nofels Franz Heimgasse;Telekommunikationsdienste;1000
Kindergarten Nofels Franz Heimgasse;Versicherungen;600
Kindergarten Nofels Franz Heimgasse;Öffentliche Abgaben;100
Kindergarten Nofels Franz Heimgasse;Kostenbeiträge / Verumlagung;0
Kindergarten Nofels Franz Heimgasse;Sonstige Leistungen;200
Kindergarten Nofels Franz Heimgasse;Dv-Programme;400
Kindergarten Nofels Franz Heimgasse;Aufwand Hygieneartikel;1400
Kindergarten Nofels Franz Heimgasse;Sonstige Ausgaben;300
Kindergarten Nofels Rheinstraße;Betriebsausstattung;2000
Kindergarten Nofels Rheinstraße;Spielplatzeinrichtungen;1000
Kindergarten Nofels Rheinstraße;Schuldentilgung;6400
Kindergarten Nofels Rheinstraße;Geringwertige Wirtschaftsgüter;2900
Kindergarten Nofels Rheinstraße;Gw.Wg. Kindergartenerhaltung;500
Kindergarten Nofels Rheinstraße;Lebensmittel;13000
Kindergarten Nofels Rheinstraße;Brennstoffe;2800
Kindergarten Nofels Rheinstraße;Reinigungsmittel;400
Kindergarten Nofels Rheinstraße;Sonstige Verbrauchsgüter;700
Kindergarten Nofels Rheinstraße;Beschäftigungsmaterial;800
Kindergarten Nofels Rheinstraße;Werkmaterial;3000
Kindergarten Nofels Rheinstraße;Geldbezüge Angestellte;325800
Kindergarten Nofels Rheinstraße;Geldbezüge Aushilfen;8300
Kindergarten Nofels Rheinstraße;Reisegebühren;3100
Kindergarten Nofels Rheinstraße;Mehrleistungsvergütung;3500
Kindergarten Nofels Rheinstraße;Dgb-Angest.Und Arbeit.;68900
Kindergarten Nofels Rheinstraße;Pensionskassa DG-Beitrag;2800
Kindergarten Nofels Rheinstraße;Mitarbeitervorsorge (Abfertigung neu);3100
Kindergarten Nofels Rheinstraße;Fla-Btg.F.Angest.U.Arb;13200
Kindergarten Nofels Rheinstraße;Energiebezüge;2000
Kindergarten Nofels Rheinstraße;Instandhaltung von Grund und Boden;2500
Kindergarten Nofels Rheinstraße;Instandhaltung von Spielplatzeinrichtungen;3300
Kindergarten Nofels Rheinstraße;Instandhaltung von Gebäuden und Bauten;6000
Kindergarten Nofels Rheinstraße;Instandh. Heizung;1000
Kindergarten Nofels Rheinstraße;Fremdreinigung;500
Kindergarten Nofels Rheinstraße;Instandhaltung von sonstigen Anlagen;1000
Kindergarten Nofels Rheinstraße;Telekommunikationsdienste;1000
Kindergarten Nofels Rheinstraße;Kreditzinsen;1100
Kindergarten Nofels Rheinstraße;Versicherungen;600
Kindergarten Nofels Rheinstraße;Sonstige Leistungen;200
Kindergarten Nofels Rheinstraße;Dv-Programme;400
Kindergarten Nofels Rheinstraße;Aufwand Hygieneartikel;700
Kindergarten Nofels Rheinstraße;Sonstige Ausgaben;600
Ganztageskindergarten Nofels Magdalenastraße;Betriebsausstattung;0
Ganztageskindergarten Nofels Magdalenastraße;Spielplatzeinrichtungen;4700
Ganztageskindergarten Nofels Magdalenastraße;Geringwertige Wirtschaftsgüter;2100
Ganztageskindergarten Nofels Magdalenastraße;Gw.Wg. Kindergartenerhaltung;500
Ganztageskindergarten Nofels Magdalenastraße;Lebensmittel;27000
Ganztageskindergarten Nofels Magdalenastraße;Brennstoffe;4500
Ganztageskindergarten Nofels Magdalenastraße;Reinigungsmittel;500
Ganztageskindergarten Nofels Magdalenastraße;Sonstige Verbrauchsgüter;800
Ganztageskindergarten Nofels Magdalenastraße;Beschäftigungsmaterial;600
Ganztageskindergarten Nofels Magdalenastraße;Werkmaterial;3100
Ganztageskindergarten Nofels Magdalenastraße;Geldbezüge Angestellte;0
Ganztageskindergarten Nofels Magdalenastraße;Geldbezüge Angestellte Kleinkindergruppe;225800
Ganztageskindergarten Nofels Magdalenastraße;Geldbezüge Angestellte Ganztagesgruppe;119900
Ganztageskindergarten Nofels Magdalenastraße;Geldbezüge Arbeiter;0
Ganztageskindergarten Nofels Magdalenastraße;Geldbezüge Arbeiter Kleinkindergruppe;0
Ganztageskindergarten Nofels Magdalenastraße;Geldbezüge Aushilfen;0
Ganztageskindergarten Nofels Magdalenastraße;Geldbezüge Aushilfen;5200
Ganztageskindergarten Nofels Magdalenastraße;Geldbezüge Aushilfen Ganztagesgruppe;4100
Ganztageskindergarten Nofels Magdalenastraße;Reisegebühren;0
Ganztageskindergarten Nofels Magdalenastraße;Reisegebühren Kleinkindergruppe;2000
Ganztageskindergarten Nofels Magdalenastraße;Reisegebühren Ganztagesgruppe;1200
Ganztageskindergarten Nofels Magdalenastraße;Dgb-Angest.Und Arbeit.;0
Ganztageskindergarten Nofels Magdalenastraße;Dgb-Angest.u.Arbeiter Kleinkindergruppe;46600
Ganztageskindergarten Nofels Magdalenastraße;Dgb-Angest.u.Arbeiter Ganztagesgruppe;25000
Ganztageskindergarten Nofels Magdalenastraße;Pensionskassa DG-Beitrag;0
Ganztageskindergarten Nofels Magdalenastraße;Pensionskassa DG-Beitrag Kleinkindergruppe;1900
Ganztageskindergarten Nofels Magdalenastraße;Pensionskassa DG-Beitrag Ganztagesgruppe;1000
Ganztageskindergarten Nofels Magdalenastraße;Mitarbeitervorsorge (Abfertigung neu);0
Ganztageskindergarten Nofels Magdalenastraße;Mitarbeitervorsorge (Abfertigung neu);3000
Ganztageskindergarten Nofels Magdalenastraße;Mitarbeitervorsorge (Abfertigung neu) Ganztagesgruppe;1600
Ganztageskindergarten Nofels Magdalenastraße;Fla-Btg.F.Angest.U.Arb;0
Ganztageskindergarten Nofels Magdalenastraße;Fla-Btg.F.Angest.U.Arb Kleinkindergruppe;9100
Ganztageskindergarten Nofels Magdalenastraße;Fla-Btg.F.Angest.U.Arb Ganztagesgruppe;4900
Ganztageskindergarten Nofels Magdalenastraße;Energiebezüge;3000
Ganztageskindergarten Nofels Magdalenastraße;Instandhaltung von Grund und Boden;2000
Ganztageskindergarten Nofels Magdalenastraße;Instandhaltung von Spielplatzeinrichtungen;2400
Ganztageskindergarten Nofels Magdalenastraße;Instandhaltung von Gebäuden und Bauten;10000
Ganztageskindergarten Nofels Magdalenastraße;Instandh. Heizung, Klimaanl.;0
Ganztageskindergarten Nofels Magdalenastraße;Fremdreinigung;500
Ganztageskindergarten Nofels Magdalenastraße;Instandhaltung von sonstigen Anlagen;1000
Ganztageskindergarten Nofels Magdalenastraße;Telekommunikationsdienste;1200
Ganztageskindergarten Nofels Magdalenastraße;Versicherungen;100
Ganztageskindergarten Nofels Magdalenastraße;Mietzinse;50000
Ganztageskindergarten Nofels Magdalenastraße;Sonstige Leistungen;100
Ganztageskindergarten Nofels Magdalenastraße;Dv-Programme;400
Ganztageskindergarten Nofels Magdalenastraße;Aufwand Hygieneartikel;600
Ganztageskindergarten Nofels Magdalenastraße;Sonstige Ausgaben;800
Kindergarten Tosters Alvierstraße;Betriebsausstattung;2000
Kindergarten Tosters Alvierstraße;Spielplatzeinrichtungen;4800
Kindergarten Tosters Alvierstraße;Schuldentilgung;45400
Kindergarten Tosters Alvierstraße;Geringwertige Wirtschaftsgüter;3700
Kindergarten Tosters Alvierstraße;Gw.Wg. Kindergartenerhaltung;500
Kindergarten Tosters Alvierstraße;Lebensmittel;13000
Kindergarten Tosters Alvierstraße;Brennstoffe;8300
Kindergarten Tosters Alvierstraße;Reinigungsmittel;700
Kindergarten Tosters Alvierstraße;Sonstige Verbrauchsgüter;800
Kindergarten Tosters Alvierstraße;Beschäftigungsmaterial;1000
Kindergarten Tosters Alvierstraße;Werkmaterial;4500
Kindergarten Tosters Alvierstraße;Geldbezüge Angestellte;350700
Kindergarten Tosters Alvierstraße;Geldbezüge Aushilfen;8300
Kindergarten Tosters Alvierstraße;Reisegebühren;3300
Kindergarten Tosters Alvierstraße;Mehrleistungsvergütung;0
Kindergarten Tosters Alvierstraße;Dgb-Angest.Und Arbeit.;71700
Kindergarten Tosters Alvierstraße;Pensionskassa DG-Beitrag;3000
Kindergarten Tosters Alvierstraße;Mitarbeitervorsorge (Abfertigung neu);4800
Kindergarten Tosters Alvierstraße;Fla-Btg.F.Angest.U.Arb;14100
Kindergarten Tosters Alvierstraße;Energiebezüge;4000
Kindergarten Tosters Alvierstraße;Instandhaltung von Grund und Boden;1000
Kindergarten Tosters Alvierstraße;Instandhaltung von Spielplatzeinrichtungen;3500
Kindergarten Tosters Alvierstraße;Instandhaltung von Gebäuden und Bauten;3000
Kindergarten Tosters Alvierstraße;Instandh. Heizung;1000
Kindergarten Tosters Alvierstraße;Fremdreinigung;1000
Kindergarten Tosters Alvierstraße;Instandhaltung von sonstigen Anlagen;1000
Kindergarten Tosters Alvierstraße;Telekommunikationsdienste;1000
Kindergarten Tosters Alvierstraße;Kreditzinsen;5500
Kindergarten Tosters Alvierstraße;Versicherungen;1000
Kindergarten Tosters Alvierstraße;Kostenbeiträge / Verumlagung;0
Kindergarten Tosters Alvierstraße;Sonstige Leistungen;200
Kindergarten Tosters Alvierstraße;Dv-Programme;800
Kindergarten Tosters Alvierstraße;Aufwand Hygieneartikel;2800
Kindergarten Tosters Alvierstraße;Sonstige Ausgaben;800
Kindergarten Tosters Riedteilweg;Betriebsausstattung;1100
Kindergarten Tosters Riedteilweg;Spielplatzeinrichtungen;2500
Kindergarten Tosters Riedteilweg;Geringwertige Wirtschaftsgüter;2800
Kindergarten Tosters Riedteilweg;Gw.Wg. Kindergartenerhaltung;500
Kindergarten Tosters Riedteilweg;Lebensmittel;7700
Kindergarten Tosters Riedteilweg;Brennstoffe;7000
Kindergarten Tosters Riedteilweg;Reinigungsmittel;500
Kindergarten Tosters Riedteilweg;Sonstige Verbrauchsgüter;700
Kindergarten Tosters Riedteilweg;Beschäftigungsmaterial;800
Kindergarten Tosters Riedteilweg;Werkmaterial;3100
Kindergarten Tosters Riedteilweg;Geldbezüge Angestellte;309300
Kindergarten Tosters Riedteilweg;Geldbezüge Aushilfen;7300
Kindergarten Tosters Riedteilweg;Reisegebühren;2300
Kindergarten Tosters Riedteilweg;Mehrleistungsvergütungen;0
Kindergarten Tosters Riedteilweg;Dgb-Angest.Und Arbeit.;63900
Kindergarten Tosters Riedteilweg;Pensionskassa DG-Beitrag;2600
Kindergarten Tosters Riedteilweg;Mitarbeitervorsorge (Abfertigung neu);3900
Kindergarten Tosters Riedteilweg;Fla-Btg.F.Angest.U.Arb;12400
Kindergarten Tosters Riedteilweg;Energiebezüge;3500
Kindergarten Tosters Riedteilweg;Instandhaltung von Grund und Boden;2500
Kindergarten Tosters Riedteilweg;Instandhaltung von Spielplatzeinrichtungen;3500
Kindergarten Tosters Riedteilweg;Instandhaltung von Gebäuden und Bauten;3000
Kindergarten Tosters Riedteilweg;Instandh. Heizung;1000
Kindergarten Tosters Riedteilweg;Fremdreinigung;1000
Kindergarten Tosters Riedteilweg;Instandhaltung von sonstigen Anlagen;1000
Kindergarten Tosters Riedteilweg;Telekommunikationsdienste;1000
Kindergarten Tosters Riedteilweg;Versicherungen;900
Kindergarten Tosters Riedteilweg;Kostenbeiträge / Verumlagung;0
Kindergarten Tosters Riedteilweg;Sonstige Leistungen;200
Kindergarten Tosters Riedteilweg;Dv-Programme;400
Kindergarten Tosters Riedteilweg;Aufwand Hygieneartikel;1400
Kindergarten Tosters Riedteilweg;Sonstige Ausgaben;500
Kindergarten Tisis Rheinbergerstraße;Betriebsausstattung;17800
Kindergarten Tisis Rheinbergerstraße;Geringwertige Wirtschaftsgüter;1800
Kindergarten Tisis Rheinbergerstraße;Gw.Wg. Kindergartenerhaltung;500
Kindergarten Tisis Rheinbergerstraße;Lebensmittel;7000
Kindergarten Tisis Rheinbergerstraße;Brennstoffe;3300
Kindergarten Tisis Rheinbergerstraße;Reinigungsmittel;400
Kindergarten Tisis Rheinbergerstraße;Sonstige Verbrauchsgüter;500
Kindergarten Tisis Rheinbergerstraße;Beschäftigungsmaterial;600
Kindergarten Tisis Rheinbergerstraße;Werkmaterial;2200
Kindergarten Tisis Rheinbergerstraße;Geldbezüge Angestellte;195300
Kindergarten Tisis Rheinbergerstraße;Geldbezüge Aushilfen;4100
Kindergarten Tisis Rheinbergerstraße;Reisegebühren;2100
Kindergarten Tisis Rheinbergerstraße;Mehrleistungsvergütung;0
Kindergarten Tisis Rheinbergerstraße;Dgb-Angest.Und Arbeit.;40400
Kindergarten Tisis Rheinbergerstraße;Pensionskassa DG-Beitrag;1500
Kindergarten Tisis Rheinbergerstraße;Mitarbeitervorsorge (Abfertigung neu);2200
Kindergarten Tisis Rheinbergerstraße;Fla-Btg.F.Angest.U.Arb;7800
Kindergarten Tisis Rheinbergerstraße;Energiebezüge;1500
Kindergarten Tisis Rheinbergerstraße;Instandhaltung von Grund und Boden;1000
Kindergarten Tisis Rheinbergerstraße;Instandhaltung von Spielplatzeinrichtungen;3000
Kindergarten Tisis Rheinbergerstraße;Instandhaltung von Gebäuden und Bauten;3000
Kindergarten Tisis Rheinbergerstraße;Instandh. Heizung;1500
Kindergarten Tisis Rheinbergerstraße;Fremdreinigung;500
Kindergarten Tisis Rheinbergerstraße;Instandhaltung von sonstigen Anlagen;1000
Kindergarten Tisis Rheinbergerstraße;Telekommunikationsdienste;1000
Kindergarten Tisis Rheinbergerstraße;Kreditzinsen;1000
Kindergarten Tisis Rheinbergerstraße;Versicherungen;500
Kindergarten Tisis Rheinbergerstraße;Kostenbeiträge / Verumlagung;0
Kindergarten Tisis Rheinbergerstraße;Sonstige Leistungen;200
Kindergarten Tisis Rheinbergerstraße;Dv-Programme;400
Kindergarten Tisis Rheinbergerstraße;Aufwand Hygieneartikel;600
Kindergarten Tisis Rheinbergerstraße;Sonstige Ausgaben;800
Ganztagskindergarten Tisis;Betriebsausstattung;700
Ganztagskindergarten Tisis;Spielplatzeinrichtungen;500
Ganztagskindergarten Tisis;Geringwertige Wirtschaftsgüter;2300
Ganztagskindergarten Tisis;Gw.Wg. Kindergartenerhaltung;500
Ganztagskindergarten Tisis;Lebensmittel;24000
Ganztagskindergarten Tisis;Reinigungsmittel;500
Ganztagskindergarten Tisis;Sonstige Verbrauchsgüter;700
Ganztagskindergarten Tisis;Beschäftigungsmaterial;600
Ganztagskindergarten Tisis;Werkmaterial;2600
Ganztagskindergarten Tisis;Geldbezüge Angestellte;254500
Ganztagskindergarten Tisis;Geldbezüge Aushilfen;7300
Ganztagskindergarten Tisis;Reisegebühren;1900
Ganztagskindergarten Tisis;Mehrleistungsvergütung;0
Ganztagskindergarten Tisis;Dgb-Angest.Und Arbeit.;53000
Ganztagskindergarten Tisis;Pensionskassa DG-Beitrag;2200
Ganztagskindergarten Tisis;Mitarbeitervorsorge (Abfertigung neu);2800
Ganztagskindergarten Tisis;Fla-Btg.F.Angest.U.Arb;10300
Ganztagskindergarten Tisis;Energiebezüge;1000
Ganztagskindergarten Tisis;Instandhaltung von Spielplatzeinrichtungen;2000
Ganztagskindergarten Tisis;Instandhaltung von Gebäuden und Bauten;3000
Ganztagskindergarten Tisis;Fremdreinigung;500
Ganztagskindergarten Tisis;Instandhaltung von sonstigen Anlagen;1000
Ganztagskindergarten Tisis;Telekommunikationsdienste;1300
Ganztagskindergarten Tisis;Versicherungen;100
Ganztagskindergarten Tisis;Miete und Betriebskosten;56500
Ganztagskindergarten Tisis;Kostenbeiträge / Verumlagung;0
Ganztagskindergarten Tisis;Sonstige Leistungen;200
Ganztagskindergarten Tisis;Dv-Programme;400
Ganztagskindergarten Tisis;Aufwand Hygieneartikel;600
Ganztagskindergarten Tisis;Sonstige Ausgaben;500
Kindergarten Tisis Carina;Betriebsausstattung;1800
Kindergarten Tisis Carina;Spielplatzeinrichtungen;300
Kindergarten Tisis Carina;Geringwertige Wirtschaftsgüter;2800
Kindergarten Tisis Carina;Gw.Wg. Kindergartenerhaltung;500
Kindergarten Tisis Carina;Lebensmittel;38800
Kindergarten Tisis Carina;Brennstoffe;0
Kindergarten Tisis Carina;Reinigungsmittel;700
Kindergarten Tisis Carina;Sonstige Verbrauchsgüter;800
Kindergarten Tisis Carina;Beschäftigungsmaterial;600
Kindergarten Tisis Carina;Werkmaterial;3300
Kindergarten Tisis Carina;Geldbezüge Angestellte;0
Kindergarten Tisis Carina;Geldbezüge Angestellte Kleinkindgruppe;312500
Kindergarten Tisis Carina;Geldbezüge Angestellte Normalgruppe;118000
Kindergarten Tisis Carina;Geldbezüge Aushilfen;0
Kindergarten Tisis Carina;Geldbezüge Aushilfen Kleinkindgruppe;4100
Kindergarten Tisis Carina;Geldbezüge Aushilfen Normalgruppe;4100
Kindergarten Tisis Carina;Reisegebühren;0
Kindergarten Tisis Carina;Reisegebühren Kleinkindgruppe;3100
Kindergarten Tisis Carina;Reisegebühren Normalgruppe;1300
Kindergarten Tisis Carina;Dgb-Angest.u.Arbeiter;0
Kindergarten Tisis Carina;Dgb-Angest.u.Arbeiter Kleinkindgruppe;63300
Kindergarten Tisis Carina;Dgb-Angest.u.Arbeiter Normalgruppe;24700
Kindergarten Tisis Carina;Pensionskassa DG-Beitrag;0
Kindergarten Tisis Carina;Pensionskassa DG-Beitrag Kleinkindgruppe;2600
Kindergarten Tisis Carina;Pensionskassa DG-Beitrag Normalgruppe;1000
Kindergarten Tisis Carina;Mitarbeitervorsorge (Abfertigung neu);0
Kindergarten Tisis Carina;Mitarbeitervorsorge (Abfertigung neu) Kleinkindgruppe;4800
Kindergarten Tisis Carina;Mitarbeitervorsorge (Abfertigung neu) Normalgruppe;1900
Kindergarten Tisis Carina;Fla-Btg.F.Angest.U.Arb;0
Kindergarten Tisis Carina;Fla-Btg.F.Angest.U.Arb Kleinkindgruppe;12400
Kindergarten Tisis Carina;Fla-Btg.F.Angest.U.Arb Normalgruppe;4800
Kindergarten Tisis Carina;Energiebezüge;6000
Kindergarten Tisis Carina;Instandhaltung von Grund und Boden;7000
Kindergarten Tisis Carina;Instandhaltung von Spielplatzeinrichtungen;1500
Kindergarten Tisis Carina;Instandhaltung von Gebäuden und Bauten;16000
Kindergarten Tisis Carina;Instandh. Heizung;5000
Kindergarten Tisis Carina;Instandh. Brandmeldeanlage;6000
Kindergarten Tisis Carina;Fremdreinigung;2000
Kindergarten Tisis Carina;Instandhaltung von sonstigen Anlagen;2000
